Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Tags Used,Auto Renews,Is Customizable,Is Personalizable,Description Character Count,Has Variants,Is Supply,Minimum Processing,Placement Of Listing In Shop,Shipped From,Shop Age,Visibility Score,Conversion Rate,Shop Digital Listing,Title Character Count,When Made,Who Made,Total Shop Sales,Listing Type,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"Wedding Stationery Bundle Template, Sage Green Vintage Floral Invitation Set, Elegant Hand Drawn Canva Editable Stationery - SECRET GARDEN",https://www.etsy.com/listing/4333868520/wedding-stationery-bundle-template-sage,TheLilyLettersCo,https://www.etsy.com/shop/TheLilyLettersCo,125.51,40,5020,400,164,12,9 Mo.,543,1,11350,Weddings,,true,false,false,,false,true,,-1,,12,100,1.44,318,138,2007_2009,i_did,2949,download,"canva template,romantic bride,garden wedding,coquette aesthetic,classic wedding,sage green wedding,old money weding,minimalist invite,woodland stationery,wedding bundle,floral invite bundle,hand drawn wedding,vintage wedding",canva template,romantic bride,garden wedding,coquette aesthetic,classic wedding,sage green wedding,old money weding,minimalist invite,woodland stationery,wedding bundle,floral invite bundle,hand drawn wedding,vintage wedding
"Instagram Template Bundle | Social Media Post Story Canva | Instagram, Facebook, Pinterest Mega  Bundle | Whole Shop Posts Stories Templates",https://www.etsy.com/listing/4392608374/instagram-template-bundle-social-media,BRANDcontent,https://www.etsy.com/shop/BRANDcontent,57.53,85,4890,200,351,29,6 Mo.,970,5,33022,,,true,false,false,,false,false,,19,,57,100,1.06,201,140,2007_2009,i_did,26377,download,"canva templates,templates,social media canva,social media manager,instagram template,digital products,instagram post,instagram story,post template,story templates,instagram bundle,social media post,whole shop bundle",canva templates,templates,social media canva,social media manager,instagram template,digital products,instagram post,instagram story,post template,story templates,instagram bundle,social media post,whole shop bundle
Personalized matchbox poster,https://www.etsy.com/listing/4414981589/poster-personnalise-matchbox,MatchboxPoster,https://www.etsy.com/shop/MatchboxPoster,18.34,259,4750,0,3388,70,5 Mo.,1129,14,115807,Art & Collectibles,,false,false,false,,false,false,,0,,5,100,2.93,15,28,2020_2026,i_did,3873,download,"couple gift,template canva,romantic gift,couple scrapbook,anniversary gift,personalized gift",couple gift,template canva,romantic gift,couple scrapbook,anniversary gift,personalized gift,--,--,--,--,--,--,--
"Ready to Pop Baby Shower Bundle, Soda Baby Shower Menu, 2025 Baby Shower Trend Invite, Canva Digital Template Bundle 275",https://www.etsy.com/listing/4358878194/ready-to-pop-baby-shower-bundle-soda,juniperplumpaperie,https://www.etsy.com/shop/juniperplumpaperie,52.14,90,4693,0,576,39,8 Mo.,798,5,21128,Paper & Party Supplies,,true,false,false,,false,false,,-1,,86,100,2.73,2540,120,2020_2026,i_did,188317,download,"50s baby shower,baby shower,baby shower bundle,bundle,diet coke baby,dirty soda bar,ready to pop,red and pink,retro baby shower,she's ready to pop,shower soda bar,soda baby shower,soda bar menu",50s baby shower,baby shower,baby shower bundle,bundle,diet coke baby,dirty soda bar,ready to pop,red and pink,retro baby shower,she's ready to pop,shower soda bar,soda baby shower,soda bar menu
Ultimate Wedding Planner Bundle: Google Sheets & Canva Templates Digital Download,https://www.etsy.com/listing/4350662553/ultimate-wedding-planner-bundle-google,ByHeidiGB,https://www.etsy.com/shop/ByHeidiGB,12.45,373,4645,-28,2073,125,8 Mo.,406,16,34094,Paper & Party Supplies,,true,false,false,,false,false,,0,,17,100,6.08,821,81,2007_2009,i_did,11513,download,"budget planner,digital planner,digitalzer hochzeit,hochzeitsplanner,venue comparison,wedding,wedding checklist,wedding expense,wedding guest list,wedding planner,wedding planning,wedding to-do,weddng guest list",budget planner,digital planner,digitalzer hochzeit,hochzeitsplanner,venue comparison,wedding,wedding checklist,wedding expense,wedding guest list,wedding planner,wedding planning,wedding to-do,weddng guest list
Custom Banners Birthday Bridal Shower Bachelorette Baby Shower - Instant Download - Print at Walgreens!,https://www.etsy.com/listing/4456846969/custom-banners-instant-download-print-at,HotGirlTemplatez,https://www.etsy.com/shop/HotGirlTemplatez,34.86,132,4602,-100,186,11,2 Mo.,44,6,1825,Paper & Party Supplies,,true,false,false,,false,false,,1,,43,100,10.19,68,103,2020_2026,i_did,2477,download,"custom banner,custom,party banner,banner,party decor,birthday banner,galentines banner,canva,banner template,graduation banner,kids birthday,walgreens banner",custom banner,custom,party banner,banner,party decor,birthday banner,galentines banner,canva,banner template,graduation banner,kids birthday,walgreens banner,--
Tea Kettle Needlepoint Canvas - Hand Painted,https://www.etsy.com/listing/4446981753/tea-kettle-needlepoint-canvas-hand,FTBDigitalDownloads,https://www.etsy.com/shop/FTBDigitalDownloads,69.73,63,4393,0,83,4,3 Mo.,434,1,2682,Art & Collectibles,,true,false,false,,false,true,3,2,,21,69,3.09,26,44,2020_2026,collective,272,physical,"needlepoint template,tea kettle,needlepoint kettle,tea kettle stitch,needlepoint tea pot,tea pot chart,tea pot kettle,needlepoint canvas,handpainted canvas,tea kettle canvas,painted canvas,tea kettle painted,canvas",needlepoint template,tea kettle,needlepoint kettle,tea kettle stitch,needlepoint tea pot,tea pot chart,tea pot kettle,needlepoint canvas,handpainted canvas,tea kettle canvas,painted canvas,tea kettle painted,canvas
College Bound Commitment Graduation Custom Banner - Instant Download - Print at Walgreens!,https://www.etsy.com/listing/4465248006/college-bound-commitment-graduation,HotGirlTemplatez,https://www.etsy.com/shop/HotGirlTemplatez,26.48,165,4370,900,237,14,1 Mo.,70,14,2324,Paper & Party Supplies,,true,false,false,,false,false,,23,,43,100,10.2,68,90,2020_2026,i_did,2477,download,"custom banner,party banner,banner,party decor,canva,banner template,graduation banner,walgreens banner,graduation,graduation party,college grad,college bound,commitment banner",custom banner,party banner,banner,party decor,canva,banner template,graduation banner,walgreens banner,graduation,graduation party,college grad,college bound,commitment banner
Custom Birthday Magazine Template: Vogue Style Keepsake (Canva Digital Download),https://www.etsy.com/listing/4369357769/custom-birthday-magazine-template-vogue,GrodoDesign,https://www.etsy.com/shop/GrodoDesign,14.20,293,4160,-36,726,63,7 Mo.,609,9,35336,Paper & Party Supplies,,true,false,false,,false,false,,-1,,8,100,2.05,18,80,2007_2009,i_did,1245,download,"editable magazine,custom magazine,bestie birthday,magazine template,birthday magazine,magazine cover,birthday gift,canva template,digital download,friendship gift,gift for her,personalized gift,printable gift",editable magazine,custom magazine,bestie birthday,magazine template,birthday magazine,magazine cover,birthday gift,canva template,digital download,friendship gift,gift for her,personalized gift,printable gift
Olive Green & Burgundy Floral Wedding Website Template with RSVP: Editable Canva Design (Digital Download),https://www.etsy.com/listing/4400859541/olive-green-burgundy-floral-wedding,RosieCreativeStudio,https://www.etsy.com/shop/RosieCreativeStudio,34.18,120,4102,200,576,49,5 Mo.,1283,10,70057,Paper & Party Supplies,,true,false,false,,false,true,,0,,11,100,0.82,65,106,2007_2009,i_did,7811,download,"wedding website,digital invitation,wedding template,website invitation,wedding site,wedding details rsvp,wedding rsvp form,wedding details site,canva web template,burgundy wedding,burgundy olive,olive green wedding",wedding website,digital invitation,wedding template,website invitation,wedding site,wedding details rsvp,wedding rsvp form,wedding details site,canva web template,burgundy wedding,burgundy olive,olive green wedding,--
"Mega Party Kit Bundle: 10000+ Editable Canva Templates, Kids Birthday Decorations, DIY Party Favors, Chip Bag, Invitation, Instant Download",https://www.etsy.com/listing/4458227183/mega-party-kit-bundle-10000-editable,LatchHookCo,https://www.etsy.com/shop/LatchHookCo,25.67,159,4082,-33,226,18,2 Mo.,319,9,7395,Paper & Party Supplies,,true,false,false,,false,true,,1,,4,100,3.06,22,139,2020_2026,collective,402,download,"party decor bundle,canva template,kids birthday,printable party kit,chip bag template,personalized decor,instant download,diy party supplies,birthday box decor,mega bundle,cake topper set,party favors,editable templates",party decor bundle,canva template,kids birthday,printable party kit,chip bag template,personalized decor,instant download,diy party supplies,birthday box decor,mega bundle,cake topper set,party favors,editable templates
"Pink Bow Who Has The Daddy Baby Shower Game, Printed Scratch Off Game, Baby Shower Game, Scratch Off, Daddy Scratch Off Game, Coquette Bow",https://www.etsy.com/listing/4309701086/pink-bow-who-has-the-daddy-baby-shower,PerfectPixPrints,https://www.etsy.com/shop/PerfectPixPrints,29.29,138,4041,-33,735,78,11 Mo.,616,7,19022,Paper & Party Supplies,,true,false,false,,true,false,3,-1,,19,100,3.86,71,138,made_to_order,i_did,3198,physical,"who has the dad game,daddy scratch off,who has the daddy,who has the baby,find the dad game,scratcher game,guess who game,shower guess who,canva template,baby shower game,baby daddy scratch,pink bow scratch off",who has the dad game,daddy scratch off,who has the daddy,who has the baby,find the dad game,scratcher game,guess who game,shower guess who,canva template,baby shower game,baby daddy scratch,pink bow scratch off,--
"Vintage Wedding Website Template, Elegant Old Money Canva Design (RSVP Included) - WW03",https://www.etsy.com/listing/4444037528/vintage-wedding-website-template-elegant,HausofRosie,https://www.etsy.com/shop/HausofRosie,47.71,84,4007,0,143,7,3 Mo.,275,2,6439,Paper & Party Supplies,,true,false,false,,false,true,,0,,6,100,2.22,14,87,2020_2026,i_did,349,download,"old money wedding,wedding website,elegant wedding,vintage wedding,canva wedding site,rsvp website,classic wedding,wedding website edit,digital wedding site,wedding rsvp,rsvp wedding website,custom website,wedding templates",old money wedding,wedding website,elegant wedding,vintage wedding,canva wedding site,rsvp website,classic wedding,wedding website edit,digital wedding site,wedding rsvp,rsvp wedding website,custom website,wedding templates
"The Ultimate Wedding Day Binder Template, Wedding Day Binder, Wedding Planner, Wedding Checklist,  Wedding Day Information, Edit in Canva",https://www.etsy.com/listing/4295450460/the-ultimate-wedding-day-binder-template,PaperPeonieTreasures,https://www.etsy.com/shop/PaperPeonieTreasures,17.03,231,3933,-9,1129,93,12 Mo.,947,8,21992,,,true,false,false,,false,false,,22,,29,100,5.13,209,137,2007_2009,i_did,21653,download,"wedding template,wedding planner,wedding day binder,printable wedding,wedding day timeline,canva template,canva wedding,wedding itinerary,wedding schedule,wedding binder,day of coordinator,wedding information,wedding checklist",wedding template,wedding planner,wedding day binder,printable wedding,wedding day timeline,canva template,canva wedding,wedding itinerary,wedding schedule,wedding binder,day of coordinator,wedding information,wedding checklist
Hydrangea Wedding Invitation & Jacket Template | Cricut Print Then Cut | Editable Canva Invitation Suite + Bonus,https://www.etsy.com/listing/4454698880/blue-hydrangea-wedding-invitation-jacket,LoveandLinenDesigns,https://www.etsy.com/shop/LoveandLinenDesigns,62.35,63,3928,600,70,7,2 Mo.,391,4,7011,Weddings,,true,false,false,,false,false,,1,,12,100,1.0,20,112,2020_2026,i_did,504,download,"",--,--,--,--,--,--,--,--,--,--,--,--,--
Sage Green Digital Wedding Invitation with RSVP & Music | Animated Canva Template Online Wedding Invite with Countdown | Invitation Mariage,https://www.etsy.com/listing/4387427287/sage-green-digital-wedding-invitation,Templates4branding,https://www.etsy.com/shop/Templates4branding,36.87,103,3755,-57,454,48,6 Mo.,726,8,30412,Paper & Party Supplies,,false,false,false,,false,false,,-1,,40,100,1.49,609,139,2020_2026,i_did,33169,download,"wedding video invite,animated invitation,electronic invite,wedding animation,editable invite,wedding website,invitation template,wedding rsvp invite,wedding template,wedding invite,elegant wedding invite,invitation mariage,sage green wedding",wedding video invite,animated invitation,electronic invite,wedding animation,editable invite,wedding website,invitation template,wedding rsvp invite,wedding template,wedding invite,elegant wedding invite,invitation mariage,sage green wedding
"Birthday Newspaper canva Template, Invitation Party, Editable large Newspaper, (Digital Download)",https://www.etsy.com/listing/4365722586/birthday-newspaper-canva-template,CustardPrintables,https://www.etsy.com/shop/CustardPrintables,24.53,153,3753,-50,777,39,7 Mo.,1091,6,27595,Paper & Party Supplies,,true,false,false,,false,false,,-1,,28,100,2.82,129,97,2007_2009,i_did,7367,download,"photoshoot newspaper,newspaper large,canva newspaper,newspaper canva,template newspaper,newspaper custom,newspaper template,birthdaytemplate,newspaper photoshoot,newspaper flyer,birthday news letter,birthday newspaper,newspaper print",photoshoot newspaper,newspaper large,canva newspaper,newspaper canva,template newspaper,newspaper custom,newspaper template,birthdaytemplate,newspaper photoshoot,newspaper flyer,birthday news letter,birthday newspaper,newspaper print
160 Banner Border Templates: Editable Canva Design (Digital Download) MEGA 3x5 Banner Mock Up and Template Border Bundle,https://www.etsy.com/listing/4468348415/160-banner-border-templates-editable,WildflowerBrushCo,https://www.etsy.com/shop/WildflowerBrushCo,16.73,215,3598,900,221,14,1 Mo.,239,14,3513,Paper & Party Supplies,,true,false,false,,false,false,,0,,33,100,6.29,28,120,2020_2026,i_did,316,download,"party decorations,banners,signs,paintable banner,banner mock up,banner template,digital banner,party mock up,paintable mock up,mega banner boarder,banner bundle,banner boarder bundl",party decorations,banners,signs,paintable banner,banner mock up,banner template,digital banner,party mock up,paintable mock up,mega banner boarder,banner bundle,banner boarder bundl,--
"Quinceañera Blush Floral Digital Invitation RSVP Online ,Mis Quince 15 Años CanvaTemplate Sweet 15 Birthday, Quinceanera RSVP Canva Website",https://www.etsy.com/listing/4455768609/quinceanera-blush-floral-digital,happilyeverstudiousa,https://www.etsy.com/shop/happilyeverstudiousa,46.02,76,3498,0,119,9,2 Mo.,123,5,3035,Paper & Party Supplies,,true,false,true,,false,false,,-1,,29,100,3.92,378,139,2020_2026,i_did,7485,download,"floral sweet 16,xv invitation rsvp,floral quinceanera,quince sitio web,quinceanera court,quince rsvp site,quince rsvp tracker,sweet 15,gold and pink xv,blush floral quince,peony quinceanera,rose gold quince,hydrangea floral xv",floral sweet 16,xv invitation rsvp,floral quinceanera,quince sitio web,quinceanera court,quince rsvp site,quince rsvp tracker,sweet 15,gold and pink xv,blush floral quince,peony quinceanera,rose gold quince,hydrangea floral xv
Wedding Magazine Template | Editable Wedding Program | Wedding Booklet | Custom Wedding Magazine | Wedding Journal | Personalize Magazine,https://www.etsy.com/listing/4402491015/wedding-magazine-template-editable,SparkleSlate,https://www.etsy.com/shop/SparkleSlate,34.86,100,3486,700,247,11,5 Mo.,332,2,6872,Paper & Party Supplies,,true,false,false,,false,false,,2,,11,100,3.59,35,137,2007_2009,i_did,2568,download,"wedding magazine,wedding progam,printable wedding,editable wedding,wedding keepsake,wedding booklet,canva wedding,wedding template,diy wedding,wedding planner,custom wedding,wedding itinerary,wedding journal",wedding magazine,wedding progam,printable wedding,editable wedding,wedding keepsake,wedding booklet,canva wedding,wedding template,diy wedding,wedding planner,custom wedding,wedding itinerary,wedding journal
"Minimalist Wedding Template Bundle: Editable Invitation Suite (Canva, Instant Download), MC25",https://www.etsy.com/listing/4346699966/minimalist-wedding-template-bundle,TheEditableWedding,https://www.etsy.com/shop/TheEditableWedding,25.14,138,3470,0,271,22,8 Mo.,807,3,17147,Weddings,,true,false,true,,false,true,,3,,10,100,1.58,212,93,2007_2009,i_did,2932,download,"diy reception signs,elegant sign bundle,modern wedding sign,printable invitation,reception bundle,reception signs,wedding menu,wedding program,wedding sign bundle,wedding signage,wedding signs bundle,wedding stationery,wedding table signs",diy reception signs,elegant sign bundle,modern wedding sign,printable invitation,reception bundle,reception signs,wedding menu,wedding program,wedding sign bundle,wedding signage,wedding signs bundle,wedding stationery,wedding table signs
Golf Mastered 1st Year Birthday Invitation Bundle: Par-Tee Party Decor (Digital Download Canva Template),https://www.etsy.com/listing/4359572481/golf-mastered-1st-year-birthday,PNWCoastMarket,https://www.etsy.com/shop/PNWCoastMarket,55.75,62,3457,-100,324,28,8 Mo.,393,4,11243,Paper & Party Supplies,,true,false,true,,false,false,,46,,55,100,2.88,63,104,2020_2026,i_did,1600,download,"golf first birthday,golf invitation,golf party,hole in one,golf birthday,first birthday,masters,golf masters,golf birthday bundle,birthday golf bundle,first birthday golf,masters invite,mastered first year",golf first birthday,golf invitation,golf party,hole in one,golf birthday,first birthday,masters,golf masters,golf birthday bundle,birthday golf bundle,first birthday golf,masters invite,mastered first year
"Funeral Photo Collage Sign Template: Celebration of Life Memorial (Canva, Digital Download)",https://www.etsy.com/listing/4341620808/funeral-photo-collage-sign-template,MoonbeamCelebrations,https://www.etsy.com/shop/MoonbeamCelebrations,27.67,124,3431,0,479,34,9 Mo.,517,4,17386,Paper & Party Supplies,,false,false,false,,false,false,,1,,25,100,2.76,263,91,2020_2026,i_did,9299,download,"canva template,funeral collage,funeral poster,life celebration,editable funeral,custom funeral,funeral photo,memorial photos,memorial poster,photo board,photo collage,remembrance poster,tribute collage",canva template,funeral collage,funeral poster,life celebration,editable funeral,custom funeral,funeral photo,memorial photos,memorial poster,photo board,photo collage,remembrance poster,tribute collage
"50,000+ Party Favor Templates Bundle | Editable Canva Party Decorations, Chip Bag, Water Bottle Labels, Birthday DIY Kit, Instant Download",https://www.etsy.com/listing/4468322071/50000-party-favor-templates-bundle,LatchHookCo,https://www.etsy.com/shop/LatchHookCo,42.30,81,3426,400,87,7,1 Mo.,197,7,4304,Paper & Party Supplies,,true,false,false,,false,true,,2,,4,100,2.02,22,138,2020_2026,collective,402,download,"party favor template,canva party template,birthday party kit,chip bag template,party favor bundle,party decoration diy,kids birthday decor,editable party favors,birthday canva template,party printable kit,diy birthday party,party decorations,birthday party bundle",party favor template,canva party template,birthday party kit,chip bag template,party favor bundle,party decoration diy,kids birthday decor,editable party favors,birthday canva template,party printable kit,diy birthday party,party decorations,birthday party bundle
"Wedding Magazine Template, Editable Wedding Programs, Wedding Booklet, Wedding Itinerary, Wedding Welcome Gifts, Custom Canva Template, 335",https://www.etsy.com/listing/4378236415/wedding-magazine-template-editable,TheSpecialEditionCo,https://www.etsy.com/shop/TheSpecialEditionCo,32.93,103,3391,-100,454,37,7 Mo.,782,5,12699,Paper & Party Supplies,,true,false,false,,false,false,,-1,,61,100,3.58,281,139,2007_2009,i_did,41548,download,"magazine template,wedding magazine,magazine mariage,wedding programs,program template,wedding itinerary,wedding brochure,wedding gifts,custom magazine,wedding day,ceremony program,wedding timeline,welcome gifts",magazine template,wedding magazine,magazine mariage,wedding programs,program template,wedding itinerary,wedding brochure,wedding gifts,custom magazine,wedding day,ceremony program,wedding timeline,welcome gifts
Romance Author Bookstagram Bundle Indie Author Book Launch Writer Instagram Book Promo Template Canva Book Marketing Bookish Content Creator,https://www.etsy.com/listing/4394226437/romance-author-bookstagram-bundle-indie,KTRDigitalDesign,https://www.etsy.com/shop/KTRDigitalDesign,61.51,55,3383,200,240,25,6 Mo.,510,4,9300,,,false,false,true,,false,true,,1,,25,100,2.58,145,140,2007_2009,i_did,9585,download,"book launch,book promo,book marketing,author instagram,bookish instagram,bookstagram template,author canva,writer canva,romance author,contemporary romance,bookstagram bundle,author social media,bookstagram smut",book launch,book promo,book marketing,author instagram,bookish instagram,bookstagram template,author canva,writer canva,romance author,contemporary romance,bookstagram bundle,author social media,bookstagram smut
